Feature_Name,Original_Dataset,Original_Column,Modality,Data_Type,Numerical_Categorical,Target_Variable,Missing_Percentage,Unique_Values,Description,Clinical_Meaning,Transformation_Applied,Normalization_Required,Recommended_ML_Encoding,Recommended_DL_Encoding,Suitable_for_GNN,Suitable_for_Explainability,Suitable_for_Inference
PATNO,Infer_Clinical,PATNO,Clinical,int64,Numerical,No,0.0,1467,Auto-extracted feature PATNO,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
COHORT,Infer_Clinical,COHORT,Clinical,int64,Categorical,No,0.0,2,Auto-extracted feature COHORT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
COHORT_DEFINITION,Infer_Clinical,DEFINITION,Clinical,str,Categorical,No,0.0,2,Auto-extracted feature COHORT_DEFINITION,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
ENROLL_DATE,Infer_Clinical,DATE,Clinical,str,Categorical,No,0.0,164,Auto-extracted feature ENROLL_DATE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
ENROLL_STATUS,Infer_Clinical,STATUS,Clinical,str,Categorical,No,0.0,1,Auto-extracted feature ENROLL_STATUS,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
STATUS_DATE,Infer_Clinical,DATE,Clinical,str,Categorical,No,0.0,132,Auto-extracted feature STATUS_DATE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCREENEDAM,Infer_Clinical,SCREENEDAM,Clinical,float64,Categorical,No,32.65,3,Auto-extracted feature SCREENEDAM,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
ENROLL_AGE,Infer_Clinical,AGE,Clinical,float64,Numerical,No,0.0,407,Auto-extracted feature ENROLL_AGE,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
INEXPAGE,Infer_Clinical,INEXPAGE,Clinical,str,Categorical,No,32.65,6,Auto-extracted feature INEXPAGE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
AV133STDY,Infer_Clinical,AV133STDY,Clinical,float64,Categorical,No,7.02,2,Auto-extracted feature AV133STDY,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
TAUSTDY,Infer_Clinical,TAUSTDY,Clinical,float64,Categorical,No,7.23,2,Auto-extracted feature TAUSTDY,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
GAITSTDY,Infer_Clinical,GAITSTDY,Clinical,float64,Categorical,No,7.23,2,Auto-extracted feature GAITSTDY,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
PISTDY,Infer_Clinical,PISTDY,Clinical,float64,Categorical,No,7.23,1,Auto-extracted feature PISTDY,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SV2ASTDY,Infer_Clinical,SV2ASTDY,Clinical,float64,Categorical,No,7.23,2,Auto-extracted feature SV2ASTDY,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
NXTAUSTDY,Infer_Clinical,NXTAUSTDY,Clinical,float64,Categorical,No,7.23,2,Auto-extracted feature NXTAUSTDY,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
DPPDSTDY,Infer_Clinical,DPPDSTDY,Clinical,float64,Categorical,No,7.23,2,Auto-extracted feature DPPDSTDY,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
DPPROSTDY,Infer_Clinical,DPPROSTDY,Clinical,float64,Categorical,No,7.23,1,Auto-extracted feature DPPROSTDY,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
FD4STDY,Infer_Clinical,FD4STDY,Clinical,float64,Categorical,No,7.23,2,Auto-extracted feature FD4STDY,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
DPASTDY,Infer_Clinical,DPASTDY,Clinical,float64,Categorical,No,7.23,2,Auto-extracted feature DPASTDY,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
DPDPASTDY,Infer_Clinical,DPDPASTDY,Clinical,float64,Categorical,No,7.23,1,Auto-extracted feature DPDPASTDY,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
GAITLEAPSTDY,Infer_Clinical,GAITLEAPSTDY,Clinical,float64,Categorical,No,7.23,1,Auto-extracted feature GAITLEAPSTDY,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
MDGSTDY,Infer_Clinical,MDGSTDY,Clinical,float64,Categorical,No,7.23,2,Auto-extracted feature MDGSTDY,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
MNISTDY,Infer_Clinical,MNISTDY,Clinical,float64,Categorical,No,7.23,2,Auto-extracted feature MNISTDY,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
DATELIG,Infer_Clinical,DATELIG,Clinical,float64,Categorical,No,98.16,2,Auto-extracted feature DATELIG,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
PPMI_ONLINE_ENROLL,Infer_Clinical,ONLINE_ENROLL,Clinical,str,Categorical,No,0.0,2,Auto-extracted feature PPMI_ONLINE_ENROLL,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
ENRLPINK1,Infer_Clinical,ENRLPINK1,Clinical,float64,Categorical,No,7.23,2,Auto-extracted feature ENRLPINK1,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
ENRLPRKN,Infer_Clinical,ENRLPRKN,Clinical,float64,Categorical,No,7.23,2,Auto-extracted feature ENRLPRKN,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
ENRLSRDC,Infer_Clinical,ENRLSRDC,Clinical,float64,Categorical,No,7.23,2,Auto-extracted feature ENRLSRDC,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
ENRLNORM,Infer_Clinical,ENRLNORM,Clinical,float64,Categorical,No,7.23,2,Auto-extracted feature ENRLNORM,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
ENRLOTHGV,Infer_Clinical,ENRLOTHGV,Clinical,float64,Categorical,No,7.23,2,Auto-extracted feature ENRLOTHGV,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
ENRLHPSM,Infer_Clinical,ENRLHPSM,Clinical,int64,Categorical,No,0.0,1,Auto-extracted feature ENRLHPSM,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
ENRLRBD,Infer_Clinical,ENRLRBD,Clinical,int64,Categorical,No,0.0,1,Auto-extracted feature ENRLRBD,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
ENRLLRRK2,Infer_Clinical,ENRLLRRK2,Clinical,int64,Categorical,No,0.0,2,Auto-extracted feature ENRLLRRK2,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
ENRLSNCA,Infer_Clinical,ENRLSNCA,Clinical,int64,Categorical,No,0.0,2,Auto-extracted feature ENRLSNCA,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
ENRLGBA,Infer_Clinical,ENRLGBA,Clinical,int64,Categorical,No,0.0,2,Auto-extracted feature ENRLGBA,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
EVENT_ID,Infer_Clinical,ID,Clinical,str,Categorical,No,0.0,6,Auto-extracted feature EVENT_ID,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_REC_ID,Infer_Clinical,REC_ID,Clinical,str,Categorical,No,45.96,4757,Auto-extracted feature clini_REC_ID,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
clini_PAG_NAME,Infer_Clinical,PAG_NAME,Clinical,str,Categorical,No,45.96,5,Auto-extracted feature clini_PAG_NAME,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
