Feature,F_Score,P_Value
COHORT,22375.645316652095,0.0
ENRLOTHGV,2150.546135125343,0.0
ENRLSRDC,486.42814697505605,0.0
MDS_NP2WALK,261.16164802717924,0.0
NP1PTOT,156.47069554946347,0.0
MDS_NP2HYGN,156.26036689447017,0.0
MDS_NP2FREZ,140.81081456511657,0.0
MDS_NP2SPCH,129.48216035516725,0.0
MDS_NP2SALV,97.73678030820308,0.0
MDS-U_NP1CNST,86.6996625032322,0.0
MDS-U_NP1FATG,86.59423705162315,0.0
MDS-U_NP1URIN,82.52843782779502,0.0
MDS_NP2SWAL,66.24844395155833,0.0
MDS-U_NP1COG,61.30753737849065,0.0
MDS-U_NP1LTHD,53.84932262647289,0.0
MDS-U_NP1SLPD,47.4942325288716,0.0
MDS-U_NP1PAIN,46.54188867578815,0.0
MDS-U_NP1APAT,46.17773048509915,0.0
MDS-U_NP1HALL,41.47697414551403,0.0
MDS-U_NP1DPRS,38.792338288402554,0.0
ENRLLRRK2,36.98503588533949,0.0
MDS-U_NP1ANXS,32.927161813597536,0.0
ENRLGBA,28.771498015029284,0.0
MDS-U_NP1SLPN,25.63793307481663,0.0
GAITSTDY,20.081481456008095,0.0
DPASTDY,19.650387665484036,0.0
Age_AGE_AT_VISIT,19.276213976038715,0.0
MDS_NUPSOURC,18.97716384319287,0.0
MDS-U_NUPSOURC,15.680164798671724,0.0
ENRLSNCA,13.602786866987397,0.0
ENROLL_AGE,13.470194844473385,0.0
AV133STDY,7.044925723922742,0.0
ENRLNORM,5.330339299204124,0.0
NXTAUSTDY,3.4769118472945775,0.0
ENRLPRKN,3.0607239484217135,0.0
SCREENEDAM,2.69031492927754,0.0
DPPDSTDY,1.6459424467927934,0.0
FD4STDY,1.5944930188928514,0.0
TAUSTDY,1.06013248902403,0.0
SV2ASTDY,0.941719264603155,0.0
MDGSTDY,0.6980433779011863,0.0
ENRLPINK1,0.2868801260074421,0.0
MNISTDY,0.12110488942924774,0.0
DPPROSTDY,0.0,0.0
ENRLHPSM,0.0,0.0
ENRLRBD,0.0,0.0
DPDPASTDY,0.0,0.0
PISTDY,0.0,0.0
GAITLEAPSTDY,0.0,0.0
