,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis,range,CV,missing_pct,constant
PATNO,8802.0,181146.52965235175,159185.8580167664,3003.0,41486.0,149808.0,292835.0,691595.0,0.8484490109312195,-0.03507378776740078,688592.0,0.8787684661818734,0.0,False
COHORT,8802.0,1.1533742331288344,0.3603683279810365,1.0,1.0,1.0,1.0,2.0,1.9241676836416652,1.7028081370599804,1.0,0.3124470077707923,0.0,False
SCREENEDAM,5928.0,2.6912955465587043,0.7902167587212164,2.0,2.0,2.0,3.0,4.0,0.6060918180160539,-1.1459699990352532,2.0,0.293619465068282,32.65167007498296,False
ENROLL_AGE,8802.0,62.866394001363325,10.123530608717413,29.7,56.8,64.0,69.9,86.7,-0.5525425268836971,0.3141660055140929,57.0,0.16103246845202976,0.0,False
AV133STDY,8184.0,0.018328445747800588,0.13414437219538414,0.0,0.0,0.0,0.0,1.0,7.183145825447195,49.60970747469983,1.0,7.318916946980158,7.021131561008861,False
TAUSTDY,8166.0,0.010286554004408524,0.10090583574259306,0.0,0.0,0.0,0.0,1.0,9.70872321482371,92.28190789867666,1.0,9.809488746119225,7.2256305385139745,False
GAITSTDY,8166.0,0.05216752387950037,0.22237834694253758,0.0,0.0,0.0,0.0,1.0,4.028649293980764,14.23350111395366,1.0,4.262773664630896,7.2256305385139745,False
PISTDY,8166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.2256305385139745,True
SV2ASTDY,8166.0,0.008082292432035268,0.08954301117971815,0.0,0.0,0.0,0.0,1.0,10.989985931408084,118.80888914329441,1.0,11.078912565054218,7.2256305385139745,False
NXTAUSTDY,8166.0,0.011021307861866276,0.10440868537356876,0.0,0.0,0.0,0.0,1.0,9.368923272747455,85.79773663725221,1.0,9.473348052895139,7.2256305385139745,False
DPPDSTDY,8166.0,0.006612784717119765,0.08105467496557694,0.0,0.0,0.0,0.0,1.0,12.177165215504303,146.31918882290665,1.0,12.257268069794469,7.2256305385139745,False
DPPROSTDY,8166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.2256305385139745,True
FD4STDY,8166.0,0.005143277002204262,0.07153635706141015,0.0,0.0,0.0,0.0,1.0,13.838500374275679,189.55051687471408,1.0,13.908711708654172,7.2256305385139745,False
DPASTDY,8166.0,0.016164584864070537,0.12611597360962284,0.0,0.0,0.0,0.0,1.0,7.674744606786283,56.91564438290777,1.0,7.8019927310316675,7.2256305385139745,False
DPDPASTDY,8166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.2256305385139745,True
GAITLEAPSTDY,8166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.2256305385139745,True
MDGSTDY,8166.0,0.0029390154298310064,0.054136277237424237,0.0,0.0,0.0,0.0,1.0,18.36782205661084,335.4590469887236,1.0,18.419868330033598,7.2256305385139745,False
MNISTDY,8166.0,0.002204261572373255,0.04690066281936937,0.0,0.0,0.0,0.0,1.0,21.23286356637586,448.9444497270445,1.0,21.27726736572057,7.2256305385139745,False
DATELIG,162.0,0.1111111111111111,0.31524416249564025,0.0,0.0,0.0,0.0,1.0,2.4980637032759994,4.2931751179245285,1.0,2.8371974624607623,98.15950920245399,False
ENRLPINK1,8166.0,0.002204261572373255,0.04690066281936937,0.0,0.0,0.0,0.0,1.0,21.23286356637586,448.9444497270445,1.0,21.27726736572057,7.2256305385139745,False
ENRLPRKN,8166.0,0.011021307861866276,0.10440868537356876,0.0,0.0,0.0,0.0,1.0,9.368923272747455,85.7977366372522,1.0,9.473348052895139,7.2256305385139745,False
ENRLSRDC,8166.0,0.5606171932402645,0.4963423459201001,0.0,0.0,1.0,1.0,1.0,-0.24431541501349105,-1.9407853711725178,1.0,0.88534984639221,7.2256305385139745,False
ENRLNORM,8166.0,0.13592946362968406,0.34273463414017247,0.0,0.0,0.0,0.0,1.0,2.1250243736718994,2.5163448267486976,1.0,2.5214153354852686,7.2256305385139745,False
ENRLOTHGV,8166.0,0.0036737692872887582,0.06050389239262089,0.0,0.0,0.0,0.0,1.0,16.410442372027447,267.3681020357164,1.0,16.469159509271407,7.2256305385139745,False
ENRLHPSM,8802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,True
ENRLRBD,8802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,True
ENRLLRRK2,8802.0,0.09270620313565099,0.2900367564718001,0.0,0.0,0.0,0.0,1.0,2.809205071743885,5.892972091029829,1.0,3.1285582481186083,0.0,False
ENRLSNCA,8802.0,0.0190865712338105,0.13683713429383773,0.0,0.0,0.0,0.0,1.0,7.030587563165438,47.43994078685045,1.0,7.169288428894998,0.0,False
ENRLGBA,8802.0,0.0408997955010225,0.19806932962070936,0.0,0.0,0.0,0.0,1.0,4.636806176240351,19.504403276196257,1.0,4.842795109226343,0.0,False
clini_PDTRTMNT,4180.0,0.5564593301435407,0.49686155434314333,0.0,0.0,1.0,1.0,1.0,-0.22737262166858538,-1.949234568128354,1.0,0.892898236093869,52.51079300159055,False
clini_HRPOSTMED,2305.0,16.800223947939262,182.78046337227204,0.0,7.9167,13.0,16.0,8776.0333,47.80922635729102,2292.055325559433,8776.0333,10.879644458233079,73.81276982503977,False
clini_HRDBSON,0.0,,,,,,,,,,,,100.0,False
clini_HRDBSOFF,27.0,0.9271592592592592,0.9777898878669256,0.0,0.09165000000000001,1.0,1.1667,4.0833,1.644641952821477,3.3514517575217715,4.0833,1.0546083405866182,99.69325153374233,False
clini_PDMEDYN,4152.0,0.5590077071290944,0.4965656836095407,0.0,0.0,1.0,1.0,1.0,-0.237777786612957,-1.9443985645604285,1.0,0.8882984568491223,52.82890252215405,False
clini_DBSYN,4725.0,0.019470899470899472,0.13818764412615098,0.0,0.0,0.0,0.0,1.0,6.957678282472182,46.42893936604904,1.0,7.097137157565906,46.31901840490797,False
clini_ONOFFORDER,913.0,1.0657174151150055,0.24792329364524734,1.0,1.0,1.0,1.0,2.0,3.5110537456279296,10.350166528239246,1.0,0.232635115208747,89.62735741876845,False
clini_OFFEXAM,1018.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,88.4344467166553,True
clini_OFFNORSN,0.0,,,,,,,,,,,,100.0,False
clini_DBSOFFYN,8.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,99.90911156555329,True
clini_ONEXAM,0.0,,,,,,,,,,,,100.0,False
clini_ONNORSN,0.0,,,,,,,,,,,,100.0,False
clini_HIFUYN,873.0,0.003436426116838488,0.058553773623579,0.0,0.0,0.0,0.0,1.0,16.99988772536241,287.6551830074906,1.0,17.039148124461487,90.08179959100204,False
clini_DBSONYN,8.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,99.90911156555329,True
clini_NP3SPCH,4757.0,0.5055707378599958,0.65734869887342,0.0,0.0,0.0,1.0,4.0,1.119174924079069,0.8725390812280915,4.0,1.300211127044016,45.95546466712111,False
clini_NP3FACXP,4757.0,1.012192558335085,0.8461674384029483,0.0,0.0,1.0,2.0,4.0,0.41226951373024884,-0.5095858930603279,4.0,0.8359747672861527,45.95546466712111,False
clini_NP3RIGN,4757.0,0.7185200756779483,0.8651871824449953,0.0,0.0,0.0,1.0,4.0,0.9384584559469246,0.017374940129492256,4.0,1.2041238814777186,45.95546466712111,False
clini_NP3RIGRU,4757.0,0.9625814589026698,0.8890677377580751,0.0,0.0,1.0,2.0,4.0,0.4035605129539331,-0.9073362905225433,4.0,0.9236285714162837,45.95546466712111,False
clini_NP3RIGLU,4757.0,0.8280428841706958,0.894255458885641,0.0,0.0,1.0,2.0,4.0,0.6030547269646404,-0.8583840777311447,4.0,1.0799627362069038,45.95546466712111,False
clini_NP3RIGRL,4757.0,0.5947025436199286,0.8368342293159122,0.0,0.0,0.0,1.0,4.0,1.1874971114548,0.41028751167117905,4.0,1.4071475535015179,45.95546466712111,False
clini_NP3RIGLL,4757.0,0.5850325835610679,0.8525495232797707,0.0,0.0,0.0,1.0,4.0,1.2462622465117006,0.5357253601969023,4.0,1.4572684449306035,45.95546466712111,False
clini_NP3FTAPR,4757.0,0.9957956695396258,0.967938067698374,0.0,0.0,1.0,2.0,4.0,0.6179670946686835,-0.5468444533353538,4.0,0.972024781093765,45.95546466712111,False
clini_NP3FTAPL,4757.0,1.0098801765818792,1.0096814392926678,0.0,0.0,1.0,2.0,4.0,0.6018864764740416,-0.7044276333187409,4.0,0.999803207059788,45.95546466712111,False
clini_NP3HMOVR,4757.0,0.8030271179314694,0.8801660436549659,0.0,0.0,1.0,1.0,4.0,0.8176811230136518,-0.18417334935734697,4.0,1.0960601753054118,45.95546466712111,False
