name,path,type,modality,rows,columns,size_bytes,missing_pct,status
clinical_cohort_v1.csv,C:\Users\Sheran\Desktop\Parkinson\data\raw\clinical_cohort_v1.csv,.csv,Unknown,24670,66,6590608,23.63,valid
FOUND_Self-Reported_Dx_14Jul2026.csv,C:\Users\Sheran\Desktop\Parkinson\data\raw\FOUND_Self-Reported_Dx_14Jul2026.csv,.csv,Unknown,19912,6,1304899,15.76,valid
Geriatric_Depression_Scale__Short_Version__14Jul2026.csv,C:\Users\Sheran\Desktop\Parkinson\data\raw\Geriatric_Depression_Scale__Short_Version__14Jul2026.csv,.csv,Unknown,21573,22,2981458,0.02,valid
Neurological_Exam_14Jul2026.csv,C:\Users\Sheran\Desktop\Parkinson\data\raw\Neurological_Exam_14Jul2026.csv,.csv,Unknown,21004,16,2335450,12.5,valid
Participant_Status_08Jul2026.csv,C:\Users\Sheran\Desktop\Parkinson\data\raw\Participant_Status_08Jul2026.csv,.csv,Clinical/Demographics,8837,35,1566945,10.95,valid
SCOPA-AUT_14Jul2026.csv,C:\Users\Sheran\Desktop\Parkinson\data\raw\SCOPA-AUT_14Jul2026.csv,.csv,Non-Motor,21281,43,5060699,12.94,valid
University_of_Pennsylvania_Smell_Identification_Test_UPSIT_14Jul2026.csv,C:\Users\Sheran\Desktop\Parkinson\data\raw\University_of_Pennsylvania_Smell_Identification_Test_UPSIT_14Jul2026.csv,.csv,Non-Motor,10305,95,4696786,1.32,valid
Current_Biospecimen_Analysis_Results_08Jul2026.csv,C:\Users\Sheran\Desktop\Parkinson\data\unzipped\Biospecimen_Analysis\Current_Biospecimen_Analysis_Results_08Jul2026.csv,.csv,Biospecimen/Omics,1156000,13,185735756,1.35,valid
Kinetic_data_for_SAA_Results_08Jul2026.csv,C:\Users\Sheran\Desktop\Parkinson\data\unzipped\Biospecimen_Analysis\Kinetic_data_for_SAA_Results_08Jul2026.csv,.csv,Biospecimen/Omics,4539,19,918632,0.01,valid
SAA_Biospecimen_Analysis_Results_08Jul2026.csv,C:\Users\Sheran\Desktop\Parkinson\data\unzipped\Biospecimen_Analysis\SAA_Biospecimen_Analysis_Results_08Jul2026.csv,.csv,Biospecimen/Omics,5086,48,1667950,42.64,valid
Dopamine_Imaging_14Jul2026.csv,C:\Users\Sheran\Desktop\Parkinson\data\unzipped\DaTSCAN\Dopamine_Imaging_14Jul2026.csv,.csv,Unknown,15105,17,1693506,29.65,valid
Xing_Core_Lab_-_Quant_SBR_14Jul2026.csv,C:\Users\Sheran\Desktop\Parkinson\data\unzipped\DaTSCAN\Xing_Core_Lab_-_Quant_SBR_14Jul2026.csv,.csv,Unknown,9938,42,2878729,5.08,valid
Xing_Core_Lab_-_Visual_Read_14Jul2026.csv,C:\Users\Sheran\Desktop\Parkinson\data\unzipped\DaTSCAN\Xing_Core_Lab_-_Visual_Read_14Jul2026.csv,.csv,Unknown,2334,5,100470,11.88,valid
Clinical_Diagnosis_14Jul2026.csv,C:\Users\Sheran\Desktop\Parkinson\data\unzipped\Medical\Clinical_Diagnosis_14Jul2026.csv,.csv,Clinical/Demographics,17278,11,1483407,19.06,valid
Concomitant_Medication_Log_14Jul2026.csv,C:\Users\Sheran\Desktop\Parkinson\data\unzipped\Medical\Concomitant_Medication_Log_14Jul2026.csv,.csv,Unknown,64801,22,9809428,43.57,valid
Features_of_Parkinsonism_14Jul2026.csv,C:\Users\Sheran\Desktop\Parkinson\data\unzipped\Medical\Features_of_Parkinsonism_14Jul2026.csv,.csv,Unknown,26842,12,2597490,0.88,valid
Initiation_of_Dopaminergic_Therapy_14Jul2026.csv,C:\Users\Sheran\Desktop\Parkinson\data\unzipped\Medical\Initiation_of_Dopaminergic_Therapy_14Jul2026.csv,.csv,Unknown,10695,8,779444,0.0,valid
LEDD_Concomitant_Medication_Log_14Jul2026.csv,C:\Users\Sheran\Desktop\Parkinson\data\unzipped\Medical\LEDD_Concomitant_Medication_Log_14Jul2026.csv,.csv,Unknown,9937,15,1457858,21.99,valid
Medical_Conditions_Log_14Jul2026.csv,C:\Users\Sheran\Desktop\Parkinson\data\unzipped\Medical\Medical_Conditions_Log_14Jul2026.csv,.csv,Unknown,37014,15,4749186,11.42,valid
PD_Diagnosis_History_14Jul2026.csv,C:\Users\Sheran\Desktop\Parkinson\data\unzipped\Medical\PD_Diagnosis_History_14Jul2026.csv,.csv,Clinical/Demographics,2176,15,262756,0.11,valid
Vital_Signs_14Jul2026.csv,C:\Users\Sheran\Desktop\Parkinson\data\unzipped\Medical\Vital_Signs_14Jul2026.csv,.csv,Unknown,31635,17,4063073,4.93,valid
Gait_Data___Arm_swing__Axivity__14Jul2026.csv,C:\Users\Sheran\Desktop\Parkinson\data\unzipped\Motor___MDS_UPDRS\Gait_Data___Arm_swing__Axivity__14Jul2026.csv,.csv,Unknown,100,106,127951,4.75,valid
Gait_Substudy_Gait_Mobility_Assessment_and_Measurement_14Jul2026.csv,C:\Users\Sheran\Desktop\Parkinson\data\unzipped\Motor___MDS_UPDRS\Gait_Substudy_Gait_Mobility_Assessment_and_Measurement_14Jul2026.csv,.csv,Unknown,485,26,94839,1.32,valid
MDS-UPDRS_Part_III_14Jul2026.csv,C:\Users\Sheran\Desktop\Parkinson\data\unzipped\Motor___MDS_UPDRS\MDS-UPDRS_Part_III_14Jul2026.csv,.csv,Motor,38722,65,12280005,26.12,valid
MDS-UPDRS_Part_IV__Motor_Complications_14Jul2026.csv,C:\Users\Sheran\Desktop\Parkinson\data\unzipped\Motor___MDS_UPDRS\MDS-UPDRS_Part_IV__Motor_Complications_14Jul2026.csv,.csv,Motor,11040,23,1519771,21.74,valid
MDS-UPDRS_Part_I_14Jul2026.csv,C:\Users\Sheran\Desktop\Parkinson\data\unzipped\Motor___MDS_UPDRS\MDS-UPDRS_Part_I_14Jul2026.csv,.csv,Motor,32854,15,3592140,0.02,valid
MDS-UPDRS_Part_I_Patient_Questionnaire_14Jul2026.csv,C:\Users\Sheran\Desktop\Parkinson\data\unzipped\Motor___MDS_UPDRS\MDS-UPDRS_Part_I_Patient_Questionnaire_14Jul2026.csv,.csv,Motor,37032,16,4288740,0.01,valid
MDS_UPDRS_Part_II__Patient_Questionnaire_14Jul2026.csv,C:\Users\Sheran\Desktop\Parkinson\data\unzipped\Motor___MDS_UPDRS\MDS_UPDRS_Part_II__Patient_Questionnaire_14Jul2026.csv,.csv,Motor,37033,22,5179795,0.03,valid
Roche_PD_Monitoring_App_v2_data_14Jul2026.csv,C:\Users\Sheran\Desktop\Parkinson\data\unzipped\Roche_Smartphone_App\Roche_PD_Monitoring_App_v2_data_14Jul2026.csv,.csv,Unknown,108901,22,23693082,29.77,valid
Epworth_Sleepiness_Scale_14Jul2026.csv,C:\Users\Sheran\Desktop\Parkinson\data\unzipped\Sleep_Disorder\Epworth_Sleepiness_Scale_14Jul2026.csv,.csv,Non-Motor,21302,16,2411506,0.01,valid
REM_Sleep_Behavior_Disorder_Screening_Questionnaire_14Jul2026.csv,C:\Users\Sheran\Desktop\Parkinson\data\unzipped\Sleep_Disorder\REM_Sleep_Behavior_Disorder_Screening_Questionnaire_14Jul2026.csv,.csv,Non-Motor,21313,29,3542346,0.03,valid
Eligibility_Override_14Jul2026.csv,C:\Users\Sheran\Desktop\Parkinson\data\unzipped\Study_Enrollment__1_\Eligibility_Override_14Jul2026.csv,.csv,Unknown,247,8,18143,12.4,valid
FOUND_Enrollment_Status_14Jul2026.csv,C:\Users\Sheran\Desktop\Parkinson\data\unzipped\Study_Enrollment__1_\FOUND_Enrollment_Status_14Jul2026.csv,.csv,Clinical/Demographics,3542,12,273776,25.36,valid
Inclusion_Exclusion_14Jul2026.csv,C:\Users\Sheran\Desktop\Parkinson\data\unzipped\Study_Enrollment__1_\Inclusion_Exclusion_14Jul2026.csv,.csv,Unknown,10266,45,2008584,53.72,valid
Age_at_visit_08Jul2026.csv,C:\Users\Sheran\Desktop\Parkinson\data\unzipped\Subject_Demographics\Age_at_visit_08Jul2026.csv,.csv,Unknown,48648,3,1019118,0.0,valid
Demographics_08Jul2026.csv,C:\Users\Sheran\Desktop\Parkinson\data\unzipped\Subject_Demographics\Demographics_08Jul2026.csv,.csv,Clinical/Demographics,8781,29,1466689,11.14,valid
